number_1,number_2,full_cond,accuracy,ablated_unit,diff_from_full
singular,singular,singular_singular,1.0,204.0,0.0
singular,plural,singular_plural,0.9566666666666668,204.0,0.0
plural,singular,plural_singular,0.9116666666666666,204.0,0.0
plural,plural,plural_plural,0.9983333333333332,204.0,0.0
singular,singular,singular_singular,1.0,550.0,0.0
singular,plural,singular_plural,0.9566666666666668,550.0,0.0
plural,singular,plural_singular,0.91,550.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,550.0,-0.001666666666666372
singular,singular,singular_singular,1.0,1208.0,0.0
singular,plural,singular_plural,0.9566666666666668,1208.0,0.0
plural,singular,plural_singular,0.905,1208.0,-0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,1208.0,0.0
singular,singular,singular_singular,1.0,500.0,0.0
singular,plural,singular_plural,0.9566666666666668,500.0,0.0
plural,singular,plural_singular,0.91,500.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,500.0,-0.001666666666666372
singular,singular,singular_singular,1.0,1142.0,0.0
singular,plural,singular_plural,0.9566666666666668,1142.0,0.0
plural,singular,plural_singular,0.9116666666666666,1142.0,0.0
plural,plural,plural_plural,0.9983333333333332,1142.0,0.0
singular,singular,singular_singular,1.0,479.0,0.0
singular,plural,singular_plural,0.955,479.0,-0.0016666666666668162
plural,singular,plural_singular,0.9116666666666666,479.0,0.0
plural,plural,plural_plural,0.9983333333333332,479.0,0.0
singular,singular,singular_singular,1.0,30.0,0.0
singular,plural,singular_plural,0.9566666666666668,30.0,0.0
plural,singular,plural_singular,0.91,30.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,30.0,0.0
singular,singular,singular_singular,1.0,782.0,0.0
singular,plural,singular_plural,0.955,782.0,-0.0016666666666668162
plural,singular,plural_singular,0.9133333333333332,782.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,782.0,0.0
singular,singular,singular_singular,1.0,113.0,0.0
singular,plural,singular_plural,0.9566666666666668,113.0,0.0
plural,singular,plural_singular,0.9116666666666666,113.0,0.0
plural,plural,plural_plural,0.9983333333333332,113.0,0.0
singular,singular,singular_singular,1.0,511.0,0.0
singular,plural,singular_plural,0.9566666666666668,511.0,0.0
plural,singular,plural_singular,0.9116666666666666,511.0,0.0
plural,plural,plural_plural,0.9983333333333332,511.0,0.0
singular,singular,singular_singular,1.0,354.0,0.0
singular,plural,singular_plural,0.9566666666666668,354.0,0.0
plural,singular,plural_singular,0.9133333333333332,354.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,354.0,0.0
singular,singular,singular_singular,1.0,681.0,0.0
singular,plural,singular_plural,0.9566666666666668,681.0,0.0
plural,singular,plural_singular,0.91,681.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,681.0,0.0
singular,singular,singular_singular,1.0,1039.0,0.0
singular,plural,singular_plural,0.9566666666666668,1039.0,0.0
plural,singular,plural_singular,0.905,1039.0,-0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,1039.0,0.0
singular,singular,singular_singular,1.0,351.0,0.0
singular,plural,singular_plural,0.9566666666666668,351.0,0.0
plural,singular,plural_singular,0.91,351.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,351.0,-0.001666666666666372
singular,singular,singular_singular,1.0,683.0,0.0
singular,plural,singular_plural,0.9566666666666668,683.0,0.0
plural,singular,plural_singular,0.91,683.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,683.0,0.0
singular,singular,singular_singular,1.0,505.0,0.0
singular,plural,singular_plural,0.9566666666666668,505.0,0.0
plural,singular,plural_singular,0.91,505.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,505.0,0.0
singular,singular,singular_singular,1.0,125.0,0.0
singular,plural,singular_plural,0.9566666666666668,125.0,0.0
plural,singular,plural_singular,0.9083333333333332,125.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,125.0,0.0
singular,singular,singular_singular,1.0,103.0,0.0
singular,plural,singular_plural,0.9533333333333334,103.0,-0.0033333333333334103
plural,singular,plural_singular,0.9083333333333332,103.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,103.0,0.0
singular,singular,singular_singular,1.0,1185.0,0.0
singular,plural,singular_plural,0.9566666666666668,1185.0,0.0
plural,singular,plural_singular,0.9,1185.0,-0.011666666666666603
plural,plural,plural_plural,0.995,1185.0,-0.0033333333333331883
singular,singular,singular_singular,1.0,163.0,0.0
singular,plural,singular_plural,0.9566666666666668,163.0,0.0
plural,singular,plural_singular,0.91,163.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,163.0,0.0
singular,singular,singular_singular,1.0,1165.0,0.0
singular,plural,singular_plural,0.9566666666666668,1165.0,0.0
plural,singular,plural_singular,0.9083333333333332,1165.0,-0.0033333333333334103
plural,plural,plural_plural,0.9966666666666668,1165.0,-0.001666666666666372
singular,singular,singular_singular,1.0,1063.0,0.0
singular,plural,singular_plural,0.955,1063.0,-0.0016666666666668162
plural,singular,plural_singular,0.9133333333333332,1063.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,1063.0,0.0
singular,singular,singular_singular,1.0,20.0,0.0
singular,plural,singular_plural,0.9566666666666668,20.0,0.0
plural,singular,plural_singular,0.91,20.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,20.0,0.0
singular,singular,singular_singular,1.0,301.0,0.0
singular,plural,singular_plural,0.9566666666666668,301.0,0.0
plural,singular,plural_singular,0.91,301.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,301.0,0.0
singular,singular,singular_singular,1.0,537.0,0.0
singular,plural,singular_plural,0.9566666666666668,537.0,0.0
plural,singular,plural_singular,0.9116666666666666,537.0,0.0
plural,plural,plural_plural,0.9983333333333332,537.0,0.0
singular,singular,singular_singular,1.0,1260.0,0.0
singular,plural,singular_plural,0.9566666666666668,1260.0,0.0
plural,singular,plural_singular,0.9116666666666666,1260.0,0.0
plural,plural,plural_plural,0.9983333333333332,1260.0,0.0
singular,singular,singular_singular,1.0,1041.0,0.0
singular,plural,singular_plural,0.9566666666666668,1041.0,0.0
plural,singular,plural_singular,0.91,1041.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,1041.0,0.0
singular,singular,singular_singular,1.0,51.0,0.0
singular,plural,singular_plural,0.9566666666666668,51.0,0.0
plural,singular,plural_singular,0.9116666666666666,51.0,0.0
plural,plural,plural_plural,0.9983333333333332,51.0,0.0
singular,singular,singular_singular,1.0,998.0,0.0
singular,plural,singular_plural,0.95,998.0,-0.006666666666666821
plural,singular,plural_singular,0.91,998.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,998.0,-0.001666666666666372
singular,singular,singular_singular,1.0,203.0,0.0
singular,plural,singular_plural,0.9566666666666668,203.0,0.0
plural,singular,plural_singular,0.9116666666666666,203.0,0.0
plural,plural,plural_plural,0.9983333333333332,203.0,0.0
singular,singular,singular_singular,1.0,520.0,0.0
singular,plural,singular_plural,0.9566666666666668,520.0,0.0
plural,singular,plural_singular,0.9116666666666666,520.0,0.0
plural,plural,plural_plural,0.9983333333333332,520.0,0.0
singular,singular,singular_singular,1.0,267.0,0.0
singular,plural,singular_plural,0.9566666666666668,267.0,0.0
plural,singular,plural_singular,0.9133333333333332,267.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,267.0,0.0
singular,singular,singular_singular,1.0,1117.0,0.0
singular,plural,singular_plural,0.96,1117.0,0.0033333333333331883
plural,singular,plural_singular,0.9,1117.0,-0.011666666666666603
plural,plural,plural_plural,0.9966666666666668,1117.0,-0.001666666666666372
singular,singular,singular_singular,1.0,407.0,0.0
singular,plural,singular_plural,0.9566666666666668,407.0,0.0
plural,singular,plural_singular,0.9083333333333332,407.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,407.0,0.0
singular,singular,singular_singular,1.0,1166.0,0.0
singular,plural,singular_plural,0.9666666666666668,1166.0,0.010000000000000009
plural,singular,plural_singular,0.9166666666666666,1166.0,0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,1166.0,0.0
singular,singular,singular_singular,1.0,131.0,0.0
